UnitID,ipeds_name,sports_ref_name
NA,Abilene Christian University,Abilene Christian
NA,United States Air Force Academy,Air Force
200800,University of Akron Main Campus,Akron
100751,The University of Alabama,Alabama
NA,Alabama A & M University,Alabama A&M
NA,Alabama State University,Alabama State
NA,SUNY at Albany,Albany (NY)
NA,Alcorn State University,Alcorn State
NA,American University,American
197869,Appalachian State University,Appalachian State
NA,University of Arkansas at Pine Bluff,Arkansas-Pine Bluff
104179,University of Arizona,Arizona
104151,Arizona State University-Tempe,Arizona State
106397,University of Arkansas,Arkansas
106458,Arkansas State University-Main Campus,Arkansas State
NA,United States Military Academy,Army
100858,Auburn University,Auburn
NA,Austin Peay State University,Austin Peay
150136,Ball State University,Ball State
223232,Baylor University,Baylor
NA,Belmont University,Belmont
NA,Bethune-Cookman University,Bethune-Cookman
NA,SUNY at Binghamton,Binghamton
142115,Boise State University,Boise State
164924,Boston College,Boston College
NA,Boston University,Boston University
201441,Bowling Green State University-Main Campus,Bowling Green State
NA,Bradley University,Bradley
NA,Brown University,Brown
NA,Bryant University,Bryant
NA,Bucknell University,Bucknell
NA,University at Buffalo,Buffalo
NA,Butler University,Butler
NA,Brigham Young University-Provo,Brigham Young
NA,Coastal Carolina University,Coastal Carolina
110635,University of California-Berkeley,University of California
NA,California Polytechnic State University-San Luis Obispo,Cal Poly
NA,Campbell University,Campbell
NA,Canisius College,Canisius
NA,University of Central Arkansas,Central Arkansas
NA,Central Connecticut State University,Central Connecticut State
169248,Central Michigan University,Central Michigan
NA,College of Charleston,College of Charleston
NA,Charleston Southern University,Charleston Southern
199139,University of North Carolina at Charlotte,Charlotte
NA,The University of Tennessee-Chattanooga,Chattanooga
NA,Chicago State University,Chicago State
201885,University of Cincinnati-Main Campus,Cincinnati
217882,Clemson University,Clemson
NA,Cleveland State University,Cleveland State
NA,Colgate University,Colgate
126614,University of Colorado Boulder,Colorado
126818,Colorado State University-Fort Collins,Colorado State
NA,Columbia University in the City of New York,Columbia
NA,Coppin State University,Coppin State
NA,Cornell University,Cornell
NA,Creighton University,Creighton
NA,California State University-Bakersfield,Cal State Bakersfield
NA,California State University-Fullerton,Cal State Fullerton
NA,California State University-Northridge,Cal State Northridge
NA,Dartmouth College,Dartmouth
NA,Davidson College,Davidson
NA,University of Dayton,Dayton
NA,University of Delaware,Delaware
NA,Delaware State University,Delaware State
NA,University of Denver,Denver
NA,DePaul University,DePaul
NA,University of Detroit Mercy,Detroit Mercy
NA,Drake University,Drake
NA,Drexel University,Drexel
198419,Duke University,Duke
NA,Duquesne University,Duquesne
NA,Eastern Illinois University,Eastern Illinois
NA,Eastern Kentucky University,Eastern Kentucky
169798,Eastern Michigan University,Eastern Michigan
NA,Eastern Washington University,Eastern Washington
198464,East Carolina University,East Carolina
198516,Elon University,Elon
NA,East Tennessee State University,East Tennessee State
NA,University of Evansville,Evansville
NA,Fairleigh Dickinson University-College at Florham,Fairleigh Dickinson
NA,Fairfield University,Fairfield
133669,Florida Atlantic University,Florida Atlantic
NA,Florida Gulf Coast University,Florida Gulf Coast
133951,Florida International University,Florida International
134130,University of Florida,Florida
NA,Florida Agricultural and Mechanical University,Florida A&M
134097,Florida State University,Florida State
NA,Fordham University,Fordham
NA,Indiana University-Purdue University-Fort Wayne,IPFW
110556,California State University-Fresno,Fresno State
NA,Furman University,Furman
NA,George Washington University,George Washington
139931,Georgia Southern University,Georgia Southern
NA,Gardner-Webb University,Gardner-Webb
NA,George Mason University,George Mason
NA,Georgetown University,Georgetown
139959,University of Georgia,Georgia
139940,Georgia State University,Georgia State
139755,Georgia Institute of Technology-Main Campus,Georgia Tech
NA,Gonzaga University,Gonzaga
NA,Grambling State University,Grambling
NA,Grand Canyon University,Grand Canyon
NA,University of Wisconsin-Green Bay,Green Bay
NA,Hampton University,Hampton
NA,University of Hartford,Hartford
NA,Harvard University,Harvard
141574,University of Hawaii at Manoa,Hawaii
NA,High Point University,High Point
NA,Hofstra University,Hofstra
NA,College of the Holy Cross,Holy Cross
225511,University of Houston,Houston
NA,Houston Baptist University,Houston Baptist
NA,Howard University,Howard
142285,University of Idaho,Idaho
NA,Idaho State University,Idaho State
145637,University of Illinois at Urbana-Champaign,Illinois
NA,Illinois State University,Illinois State
NA,University of the Incarnate Word,Incarnate Word
151351,Indiana University-Bloomington,Indiana
NA,Indiana State University,Indiana State
NA,Iona College,Iona
153658,University of Iowa,Iowa
153603,Iowa State University,Iowa State
NA,Indiana University-Purdue University-Indianapolis,IUPUI
NA,Jackson State University,Jackson State
NA,Jacksonville University,Jacksonville
NA,Jacksonville State University,Jacksonville State
NA,James Madison University,James Madison
155317,University of Kansas,Kansas
155399,Kansas State University,Kansas State
NA,Kennesaw State University,Kennesaw State
NA,Kent State University at Kent,Kent State
157085,University of Kentucky,Kentucky
NA,La Salle University,La Salle
159647,Louisiana Tech University,Louisiana Tech
NA,Lafayette College,Lafayette
NA,Lamar University,Lamar
NA,Lehigh University,Lehigh
NA,Liberty University,Liberty
NA,Lipscomb University,Lipscomb
NA,University of Arkansas at Little Rock,Arkansas-Little Rock
NA,LIU Brooklyn,Long Island University
NA,California State University-Long Beach,Long Beach State
NA,Longwood University,Longwood
NA,University of Louisiana at Lafayette,Louisiana-Lafayette
157289,University of Louisville,Louisville
NA,Loyola University Maryland,Loyola (MD)
NA,Loyola Marymount University,Loyola Marymount
NA,Loyola University Chicago,Loyola (IL)
159391,Louisiana State University and Agricultural & Mechanical College,Louisiana State
NA,University of Maine,Maine
NA,Manhattan College,Manhattan
NA,Marist College,Marist
NA,Marquette University,Marquette
237525,Marshall University,Marshall
163286,University of Maryland-College Park,Maryland
NA,McNeese State University,McNeese State
NA,University of Maryland Eastern Shore,Maryland-Eastern Shore
220862,University of Memphis,Memphis
NA,Mercer University,Mercer
135726,University of Miami,Miami (FL)
204024,Miami University-Oxford,Miami (OH)
170976,University of Michigan-Ann Arbor,Michigan
171100,Michigan State University,Michigan State
220978,Middle Tennessee State University,Middle Tennessee
NA,University of Wisconsin-Milwaukee,Milwaukee
174066,University of Minnesota-Twin Cities,Minnesota
176080,Mississippi State University,Mississippi State
NA,Mississippi Valley State University,Mississippi Valley State
178396,University of Missouri-Columbia,Missouri
NA,Missouri Southern State University,Missouri State
NA,Monmouth University,Monmouth
NA,The University of Montana,Montana
NA,Montana State University,Montana State
NA,Morehead State University,Morehead State
NA,Morgan State University,Morgan State
NA,Mount St Mary's University,Mount St. Mary's
NA,Murray State University,Murray State
NA,Northern Arizona University,Northern Arizona
NA,University of Northern Colorado,Northern Colorado
147703,Northern Illinois University,Northern Illinois
NA,Northern Kentucky University,Northern Kentucky
NA,United States Naval Academy,Navy
NA,North Carolina A & T State University,North Carolina A
NA,North Carolina Central University,North Carolina Central
199193,North Carolina State University at Raleigh,North Carolina State
181464,University of Nebraska-Lincoln,Nebraska
182290,University of Nevada-Reno,Nevada
187985,University of New Mexico-Main Campus,New Mexico
188030,New Mexico State University-Main Campus,New Mexico State
NA,University of New Orleans,New Orleans
NA,Niagara University,Niagara
NA,Nicholls State University,Nicholls State
NA,New Jersey Institute of Technology,NJ
NA,Norfolk State University,Norfolk State
NA,University of North Dakota,North Dakota
NA,North Dakota State University-Main Campus,North Dakota State
NA,University of North Florida,North Florida
227216,University of North Texas,North Texas
NA,Northeastern University,Northeastern
NA,University of Northern Iowa,Northern Iowa
147767,Northwestern University,Northwestern
NA,Northwestern State University of Louisiana,Northwestern State
152080,University of Notre Dame,Notre Dame
NA,Oakland University,Oakland
204857,Ohio University-Main Campus,Ohio
207500,University of Oklahoma-Norman Campus,Oklahoma
207388,Oklahoma State University-Main Campus,Oklahoma State
232982,Old Dominion University,Old Dominion
176017,University of Mississippi,Mississippi
NA,University of Nebraska at Omaha,Nebraska-Omaha
NA,Oral Roberts University,Oral Roberts
209551,University of Oregon,Oregon
209542,Oregon State University,Oregon State
204796,Ohio State University-Main Campus,Ohio State
NA,University of the Pacific,Pacific
NA,University of Pennsylvania,Pennsylvania
214777,Pennsylvania State University-Main Campus,Penn State
NA,Pepperdine University,Pepperdine
215293,University of Pittsburgh-Pittsburgh Campus,Pittsburgh
NA,University of Portland,Portland
NA,Portland State University,Portland State
NA,Presbyterian College,Presbyterian
NA,Princeton University,Princeton
NA,Providence College,Providence
243780,Purdue University-Main Campus,Purdue
NA,Prairie View A & M University,Prairie View
NA,Quinnipiac University,Quinnipiac
NA,Radford University,Radford
227757,Rice University,Rice
NA,University of Richmond,Richmond
NA,Rider University,Rider
NA,Robert Morris University,Robert Morris
186380,Rutgers University-New Brunswick,Rutgers
NA,South Carolina State University,South Carolina State
NA,Southern Illinois University-Carbondale,Southern Illinois
NA,California State University-Sacramento,Sacramento State
NA,Sacred Heart University,Sacred Heart
NA,Saint Joseph's University,Saint Joseph's
NA,Saint Louis University,Saint Louis
NA,Saint Mary's College of California,Saint Mary's (CA)
NA,Sam Houston State University,Sam Houston State
NA,Samford University,Samford
NA,University of San Diego,San Diego
122409,San Diego State University,San Diego State
NA,University of San Francisco,San Francisco
122755,San Jose State University,San Jose State
NA,Santa Clara University,Santa Clara
NA,Savannah State University,Savannah State
