GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC01_EST_VC14,HC01_MOE_VC14,HC02_EST_VC14,HC02_MOE_VC14,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC01_EST_VC21,HC01_MOE_VC21,HC02_EST_VC21,HC02_MOE_VC21,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC01_EST_VC28,HC01_MOE_VC28,HC02_EST_VC28,HC02_MOE_VC28,HC01_EST_VC30,HC01_MOE_VC30,HC02_EST_VC30,HC02_MOE_VC30,HC01_EST_VC31,HC01_MOE_VC31,HC02_EST_VC31,HC02_MOE_VC31,HC01_EST_VC32,HC01_MOE_VC32,HC02_EST_VC32,HC02_MOE_VC32
Id,Id2,Geography,Total; Estimate; HOUSEHOLD INCOME - All households,Total; Margin of Error; HOUSEHOLD INCOME - All households,Mean income (dollars); Estimate; HOUSEHOLD INCOME - All households,Mean income (dollars); Margin of Error; HOUSEHOLD INCOME - All households,Total; Estimate; HOUSEHOLD INCOME - All households - With earnings,Total; Margin of Error; HOUSEHOLD INCOME - All households - With earnings,Mean income (dollars); Estimate; HOUSEHOLD INCOME - All households - With earnings,Mean income (dollars); Margin of Error; HOUSEHOLD INCOME - All households - With earnings,"Total; Estimate; HOUSEHOLD INCOME - All households - With interest, dividends, or net rental income","Total; Margin of Error; HOUSEHOLD INCOME - All households - With interest, dividends, or net rental income","Mean income (dollars); Estimate; HOUSEHOLD INCOME - All households - With interest, dividends, or net rental income","Mean income (dollars); Margin of Error; HOUSEHOLD INCOME - All households - With interest, dividends, or net rental income",Total; Estimate; HOUSEHOLD INCOME - All households - With Social Security income,Total; Margin of Error; HOUSEHOLD INCOME - All households - With Social Security income,Mean income (dollars); Estimate; HOUSEHOLD INCOME - All households - With Social Security income,Mean income (dollars); Margin of Error; HOUSEHOLD INCOME - All households - With Social Security income,Total; Estimate; HOUSEHOLD INCOME - All households - With Supplemental Security Income (SSI),Total; Margin of Error; HOUSEHOLD INCOME - All households - With Supplemental Security Income (SSI),Mean income (dollars); Estimate; HOUSEHOLD INCOME - All households - With Supplemental Security Income (SSI),Mean income (dollars); Margin of Error; HOUSEHOLD INCOME - All households - With Supplemental Security Income (SSI),Total; Estimate; HOUSEHOLD INCOME - All households - With cash public assistance income,Total; Margin of Error; HOUSEHOLD INCOME - All households - With cash public assistance income,Mean income (dollars); Estimate; HOUSEHOLD INCOME - All households - With cash public assistance income,Mean income (dollars); Margin of Error; HOUSEHOLD INCOME - All households - With cash public assistance income,Total; Estimate; HOUSEHOLD INCOME - All households - With retirement income,Total; Margin of Error; HOUSEHOLD INCOME - All households - With retirement income,Mean income (dollars); Estimate; HOUSEHOLD INCOME - All households - With retirement income,Mean income (dollars); Margin of Error; HOUSEHOLD INCOME - All households - With retirement income,Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families,Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families,Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families,Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families,Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - No workers,Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - No workers,Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - No workers,Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - No workers,Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 1 worker,Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 1 worker,Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 1 worker,Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 1 worker,"Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, husband and wife worked","Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, husband and wife worked","Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, husband and wife worked","Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, husband and wife worked","Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, other","Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, other","Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, other","Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, other","Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, husband and wife worked","Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, husband and wife worked","Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, husband and wife worked","Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, husband and wife worked","Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, other","Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, other","Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, other","Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, other",Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - White,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - White,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - White,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - White,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Black or African American,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Black or African American,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Black or African American,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Black or African American,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - American Indian and Alaska Native,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - American Indian and Alaska Native,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - American Indian and Alaska Native,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - American Indian and Alaska Native,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Asian,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Asian,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Asian,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Asian,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Native Hawaiian and Other Pacific Islander,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Native Hawaiian and Other Pacific Islander,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Native Hawaiian and Other Pacific Islander,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Native Hawaiian and Other Pacific Islander,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Some other race,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Some other race,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Some other race,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Some other race,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - Two or more races,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - Two or more races,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - Two or more races,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - Two or more races,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - Hispanic or Latino origin (of any race),Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - Hispanic or Latino origin (of any race),Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - Hispanic or Latino origin (of any race),Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - Hispanic or Latino origin (of any race),"Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - White alone, not Hispanic or Latino","Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - White alone, not Hispanic or Latino","Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - White alone, not Hispanic or Latino","Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - White alone, not Hispanic or Latino",Total; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Mean income (dollars); Estimate; PERCENT IMPUTED - Household income in the past 12 months,Mean income (dollars); Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Total; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Mean income (dollars); Estimate; PERCENT IMPUTED - Family income in the past 12 months,Mean income (dollars); Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Total; Estimate; PERCENT IMPUTED - Individual income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Individual income in the past 12 months,Mean income (dollars); Estimate; PERCENT IMPUTED - Individual income in the past 12 months,Mean income (dollars); Margin of Error; PERCENT IMPUTED - Individual income in the past 12 months
0400000US01,01,Alabama,1796058,10547,53017,579,75.8,0.4,55064,622,19.1,0.4,11864,973,31.3,0.4,13072,130,5.2,0.3,6581,204,1.6,0.2,2242,224,19.9,0.4,16899,448,1222858,13632,63035,777,16.3,0.5,31472,1101,33.7,0.7,51237,1603,32.0,0.7,83926,1298,8.9,0.4,57343,1924,7.2,0.4,100962,4535,1.9,0.2,74066,4488,4599030,*****,21270,238,70.4,0.1,24463,311,26.3,0.1,13494,289,0.4,0.1,17998,2687,1.0,0.1,20315,2623,0.1,0.1,9800,4398,0.8,0.1,11162,1500,1.0,0.1,12079,1315,2.4,0.1,11281,990,69.0,0.1,24718,311,25.9,(X),(X),(X),26.4,(X),(X),(X),19.3,(X),(X),(X)
0400000US02,02,Alaska,229878,2779,73358,1538,88.4,0.9,69219,1686,44.0,1.4,8484,1189,16.1,0.8,13135,458,2.7,0.5,7201,431,6.3,0.7,4132,495,16.3,1.0,23685,1410,157939,4094,83117,2364,7.8,0.9,45026,6198,30.3,1.6,62557,5277,39.5,1.8,101534,3383,8.7,1.2,65481,6139,10.6,1.1,116154,8011,3.1,0.5,82000,9928,670053,*****,26919,583,68.7,0.4,31771,850,3.2,0.4,20025,3326,13.1,0.4,14847,917,4.5,0.3,21323,2007,0.6,0.1,18879,7497,1.8,0.4,18883,4407,8.1,0.7,13585,1933,5.6,0.1,17687,2043,66.3,0.1,32163,874,21.7,(X),(X),(X),22.7,(X),(X),(X),16.5,(X),(X),(X)
0400000US04,04,Arizona,2224992,11475,64021,657,78.7,0.3,64600,660,23.3,0.4,15914,982,28.2,0.3,14582,149,3.1,0.2,7766,267,1.9,0.2,2848,224,18.8,0.3,20612,547,1476269,13649,72974,968,16.1,0.5,45973,1739,32.4,0.6,59043,1453,31.3,0.6,93197,1593,9.5,0.4,63653,2434,7.8,0.3,111171,4424,2.9,0.2,87978,6145,6166318,*****,24110,239,76.9,0.3,26715,286,3.4,0.1,18808,941,4.5,0.1,11341,637,2.3,0.1,26444,1894,0.2,0.1,15460,3343,10.3,0.3,14461,553,2.4,0.2,11906,910,29.2,*****,13528,273,59.5,0.1,30629,341,26.3,(X),(X),(X),26.6,(X),(X),(X),20.6,(X),(X),(X)
0400000US05,05,Arkansas,1103428,7576,49322,770,76.2,0.5,50700,788,20.1,0.5,11396,1565,32.4,0.6,12853,180,5.2,0.3,6453,212,1.8,0.2,2125,287,17.4,0.5,15260,678,758195,10004,57645,1031,15.6,0.5,33675,2422,32.1,1.0,45030,1589,34.9,0.8,73339,1641,8.3,0.5,51026,2537,7.4,0.4,93695,3645,1.7,0.2,68734,6340,2810872,*****,19758,280,78.6,0.2,21752,347,15.6,0.2,12447,388,0.8,0.1,15626,2213,1.0,0.1,19494,1904,0.1,0.1,9734,4282,2.4,0.2,10386,907,1.6,0.2,9644,1067,4.9,0.1,10438,575,76.3,0.1,22066,357,24.9,(X),(X),(X),25.3,(X),(X),(X),19.1,(X),(X),(X)
0400000US06,06,California,12151227,18090,77386,306,82.7,0.1,77606,336,25.2,0.2,18490,566,23.3,0.1,13730,66,4.9,0.1,8556,115,3.2,0.1,5438,115,15.2,0.1,22002,238,8303793,26257,86337,409,11.4,0.1,44390,853,32.9,0.2,69075,742,31.3,0.2,113965,951,10.7,0.2,72830,1108,9.4,0.2,118207,1445,4.4,0.1,92537,1627,36457549,*****,26974,112,59.8,0.2,31634,195,6.2,0.1,20264,342,0.7,0.1,21065,1136,12.3,0.1,28792,316,0.4,0.1,20131,1291,17.3,0.2,14545,174,3.3,0.1,15502,498,35.9,*****,14692,126,42.8,0.1,38224,263,26.4,(X),(X),(X),27.1,(X),(X),(X),19.8,(X),(X),(X)
0400000US08,08,Colorado,1846988,9333,69334,722,84.5,0.3,68383,757,27.7,0.5,14348,946,20.6,0.3,13593,162,2.4,0.2,7238,327,1.7,0.1,2637,336,15.4,0.3,22138,486,1196223,10837,81751,986,10.4,0.4,44821,1782,29.9,0.8,64763,2015,40.5,0.6,99723,1706,8.3,0.4,65604,2525,8.9,0.3,114657,3320,2.0,0.2,85453,7888,4753377,*****,27750,253,82.8,0.3,29762,301,3.7,0.1,19323,1023,0.9,0.1,22188,2917,2.8,0.1,26053,1534,0.1,0.1,24199,6345,7.1,0.3,15358,624,2.6,0.1,13633,1337,19.7,*****,14416,318,71.5,0.1,32247,335,20.4,(X),(X),(X),20.4,(X),(X),(X),16.0,(X),(X),(X)
0400000US09,09,Connecticut,1325443,5814,87856,1196,81.7,0.4,89316,1250,32.8,0.5,16589,1105,27.5,0.4,14993,184,3.1,0.2,7943,346,2.1,0.2,3672,354,17.7,0.4,20831,815,894348,7766,104731,1677,11.0,0.4,48606,2756,29.7,0.8,94462,4544,37.2,0.7,124626,2694,9.0,0.4,85284,4815,10.5,0.4,136866,3897,2.6,0.3,113275,9031,3504809,*****,34048,452,79.9,0.3,37272,567,9.5,0.1,19638,710,0.2,0.1,21619,4574,3.3,0.1,35798,3716,0.0,0.1,25602,12618,5.2,0.3,15470,981,1.8,0.2,19232,4286,11.2,*****,16839,804,74.5,0.1,38590,589,27.1,(X),(X),(X),27.4,(X),(X),(X),22.0,(X),(X),(X)
0400000US10,10,Delaware,320110,3955,68473,1602,80.1,0.9,68941,1724,27.0,1.0,11260,2001,29.4,0.7,15052,328,2.8,0.5,7330,702,2.2,0.4,2567,658,23.3,0.9,19160,805,213565,5010,79096,2152,13.4,0.9,46704,4695,31.5,1.5,58986,3972,33.9,1.7,101039,3957,10.2,1.1,66980,5372,8.7,0.8,126171,6089,2.4,0.5,95949,11629,853476,*****,26812,628,72.1,0.4,29456,843,20.7,0.2,19192,945,0.3,0.1,18520,13261,2.9,0.1,32875,7326,0.0,0.1,N,N,2.5,0.4,15531,2752,1.4,0.2,13665,3115,6.3,*****,14143,1788,68.8,0.1,30188,864,27.3,(X),(X),(X),28.4,(X),(X),(X),21.5,(X),(X),(X)
0400000US11,11,District of Columbia,250456,3518,81991,2724,79.8,1.3,86361,3000,26.9,1.2,17138,2514,20.3,0.9,11381,404,3.6,0.6,6730,495,4.0,0.6,3367,425,16.3,0.9,29053,1837,108759,4148,102102,4997,14.6,1.9,30319,4486,34.7,2.3,78783,10673,29.7,2.2,173376,9638,14.7,1.7,72945,7071,3.0,0.7,154250,31080,3.3,0.8,104179,13982,581530,*****,37043,1126,34.5,0.6,64812,3034,55.4,0.5,20904,950,0.3,0.1,45324,14524,3.4,0.1,45260,7613,0.0,0.1,N,N,4.8,0.6,22892,3505,1.5,0.4,21053,4572,8.2,*****,26448,3526,31.6,0.1,67447,3096,26.8,(X),(X),(X),31.8,(X),(X),(X),25.6,(X),(X),(X)
