GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC01_EST_VC14,HC01_MOE_VC14,HC02_EST_VC14,HC02_MOE_VC14,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC01_EST_VC28,HC01_MOE_VC28,HC02_EST_VC28,HC02_MOE_VC28,HC01_EST_VC29,HC01_MOE_VC29,HC02_EST_VC29,HC02_MOE_VC29,HC01_EST_VC30,HC01_MOE_VC30,HC02_EST_VC30,HC02_MOE_VC30,HC01_EST_VC32,HC01_MOE_VC32,HC02_EST_VC32,HC02_MOE_VC32,HC01_EST_VC33,HC01_MOE_VC33,HC02_EST_VC33,HC02_MOE_VC33,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36,HC01_EST_VC37,HC01_MOE_VC37,HC02_EST_VC37,HC02_MOE_VC37,HC01_EST_VC38,HC01_MOE_VC38,HC02_EST_VC38,HC02_MOE_VC38
0400000US01,01,Alabama,1815152,10938,55778,640,73.8,0.5,57847,760,16.7,0.4,11637,1177,32.5,0.5,15540,135,6.9,0.3,8324,247,1.6,0.1,2490,274,19.9,0.3,20608,801,1227884,13886,65730,880,18.6,0.6,34805,1294,35.3,0.7,54031,1426,29.8,0.6,91757,1586,8.5,0.4,60067,2450,6.3,0.3,103401,3225,1.5,0.2,80449,7190,4785298,*****,21993,255,69.5,0.1,25182,326,26.4,0.1,14504,348,0.6,0.1,15851,2774,1.1,0.1,24825,3542,0.0,0.1,41274,28144,1.1,0.1,11954,1288,1.4,0.1,12577,2838,3.8,0.1,12174,946,67.0,0.1,25639,336,28.7,(X),(X),(X),29.8,(X),(X),(X),22.7,(X),(X),(X)
0400000US02,02,Alaska,254610,2804,81290,2177,87.0,0.9,77072,2017,46.1,1.6,7159,984,18.2,0.8,14252,547,4.2,0.6,8631,769,6.7,0.7,3858,419,17.4,1.1,30784,3831,170859,4484,93329,2957,8.2,0.8,42546,4767,32.5,1.9,65844,4176,37.8,2.0,114537,4682,9.5,1.1,88577,9821,9.7,1.0,150348,12733,2.3,0.4,94747,8728,713985,*****,30598,770,67.4,0.4,36329,973,3.5,0.2,31973,8083,14.6,0.5,16103,1037,5.5,0.5,20419,1991,1.1,0.1,12029,2914,0.9,0.2,25926,7764,7.0,0.6,16460,1728,5.7,0.2,20127,2159,64.0,0.1,37092,1012,23.2,(X),(X),(X),23.7,(X),(X),(X),18.0,(X),(X),(X)
0400000US04,04,Arizona,2334050,12895,62838,665,76.2,0.4,63514,783,19.9,0.3,15143,794,29.9,0.3,17245,166,4.2,0.2,9344,279,2.8,0.2,3646,275,19.0,0.4,22523,549,1548428,12546,71580,930,18.3,0.5,43578,1163,35.9,0.6,57893,1456,28.7,0.6,99597,2057,8.7,0.4,63896,1953,6.3,0.3,109335,3112,2.1,0.2,85263,5607,6413737,*****,23618,234,79.4,0.4,25661,276,4.1,0.1,17840,750,4.5,0.1,11217,642,2.7,0.1,28365,1842,0.2,0.1,19806,5735,6.4,0.4,13118,677,2.6,0.2,13083,1550,29.8,*****,13138,297,57.7,0.1,30298,325,30.6,(X),(X),(X),30.9,(X),(X),(X),23.9,(X),(X),(X)
0400000US05,05,Arkansas,1114902,8104,52382,849,74.4,0.6,53739,1039,17.1,0.6,11514,1700,34.5,0.5,15547,176,6.8,0.4,8025,259,1.8,0.2,3284,433,17.6,0.5,17504,562,761361,9102,61359,1099,17.8,0.6,34835,1306,34.6,1.0,48052,1778,32.2,0.9,83946,2120,7.7,0.4,56471,2583,6.0,0.4,97751,3183,1.6,0.3,78066,6649,2921606,*****,20725,317,78.4,0.2,22600,369,15.9,0.1,13878,762,0.6,0.1,18027,2328,1.1,0.1,24057,4083,0.2,0.1,8155,2614,2.1,0.2,9518,1113,1.7,0.1,12135,2061,6.3,0.1,11372,769,74.5,0.1,23120,378,28.8,(X),(X),(X),29.7,(X),(X),(X),22.3,(X),(X),(X)
0400000US06,06,California,12406475,16820,79465,396,80.7,0.1,79664,422,22.0,0.2,19886,590,25.1,0.2,15804,77,6.1,0.1,9481,110,4.0,0.1,5738,116,15.1,0.1,25993,324,8507856,27357,88178,521,13.1,0.1,44800,935,34.6,0.3,71251,892,28.8,0.2,121670,1021,10.7,0.2,75674,1155,8.5,0.1,122811,1537,4.3,0.1,95289,1488,37349363,*****,27353,131,62.4,0.2,30981,199,6.0,0.1,22328,444,0.8,0.1,19720,1063,13.1,0.1,29643,296,0.4,0.1,21300,1579,13.1,0.2,13915,193,4.2,0.1,17212,485,37.7,*****,14693,107,40.0,0.1,39782,281,29.8,(X),(X),(X),30.4,(X),(X),(X),22.0,(X),(X),(X)
0400000US08,08,Colorado,1960585,9151,72423,780,82.7,0.4,71641,832,24.3,0.4,15270,1030,22.1,0.3,15703,198,3.6,0.2,9237,311,2.2,0.2,3533,282,15.2,0.3,25620,667,1258885,11852,86004,1116,11.8,0.4,46478,2433,32.0,0.7,70536,1926,37.9,0.6,108366,2232,8.6,0.4,72079,2636,7.5,0.3,116047,3122,2.2,0.2,88780,6697,5049071,*****,28723,285,83.3,0.3,30925,356,3.9,0.1,20401,1398,1.0,0.1,16362,1672,2.6,0.1,25814,2038,0.1,0.1,20223,5587,5.6,0.3,14319,959,3.4,0.2,14160,1213,20.8,*****,14767,364,69.9,0.1,33917,392,25.1,(X),(X),(X),25.5,(X),(X),(X),19.5,(X),(X),(X)
0400000US09,09,Connecticut,1358809,7109,90074,1309,79.6,0.4,91506,1284,27.8,0.6,19757,1890,28.6,0.4,17426,184,4.0,0.3,8238,290,3.1,0.2,4608,369,17.8,0.4,24457,1072,890770,9681,108218,1616,12.5,0.5,51876,3246,30.9,0.8,95425,3694,34.0,0.7,133346,3388,9.4,0.5,90248,4945,10.2,0.5,149663,5050,3.0,0.3,105277,9070,3577073,*****,35078,521,78.2,0.3,39196,618,10.0,0.2,20365,1089,0.2,0.1,21366,5091,3.8,0.1,33058,2338,0.0,0.1,27569,13535,5.3,0.3,13572,768,2.5,0.2,14995,2023,13.5,*****,16558,681,71.0,0.1,41218,646,29.1,(X),(X),(X),30.0,(X),(X),(X),23.0,(X),(X),(X)
0400000US10,10,Delaware,328765,4178,72550,1826,77.5,1.0,71999,1645,22.5,0.9,14933,4198,31.9,0.9,17456,411,4.0,0.6,9932,880,2.6,0.4,2995,649,23.6,1.0,24382,1552,221233,4976,84491,2420,15.7,1.0,51217,7897,32.4,1.6,67408,4580,32.4,1.5,111011,3696,9.2,0.8,68919,4874,8.2,0.8,124998,6558,2.1,0.5,96483,9378,899769,*****,27729,621,70.7,0.5,31047,833,21.3,0.3,18727,935,0.3,0.1,18257,9203,3.1,0.1,35422,4431,0.1,0.1,9765,3471,2.0,0.4,13848,2190,2.6,0.4,14556,3453,8.2,*****,14381,1235,65.3,0.1,32360,886,31.1,(X),(X),(X),31.8,(X),(X),(X),23.8,(X),(X),(X)
0400000US11,11,District of Columbia,252388,3730,92959,2716,79.7,1.3,98824,3234,24.9,1.1,18316,2770,19.9,0.8,13504,570,5.4,0.7,8066,740,4.7,0.7,3771,502,14.5,0.9,35416,3275,101519,4051,121027,5305,13.7,1.8,26930,3840,36.6,2.4,86767,7824,31.0,2.1,194939,12265,11.2,1.7,100416,16307,4.6,0.9,239882,44646,2.9,0.8,100020,19798,604453,*****,41240,1032,40.2,0.7,65605,2222,51.2,0.4,23005,944,0.3,0.1,37927,29776,3.6,0.2,46242,5304,0.0,0.1,73100,36534,2.8,0.6,22077,4416,2.0,0.3,35604,5520,9.1,*****,29606,3110,34.8,0.1,70395,2578,31.7,(X),(X),(X),34.0,(X),(X),(X),27.7,(X),(X),(X)
0400000US12,12,Florida,7035068,25739,61877,469,73.1,0.2,61596,508,21.7,0.2,20853,1048,34.6,0.2,16654,87,4.7,0.1,8613,139,2.0,0.1,3609,179,18.9,0.2,23267,410,4556930,26451,72079,660,20.0,0.3,48214,1211,34.7,0.4,60301,1240,28.1,0.3,97337,1169,8.8,0.2,64930,1722,6.1,0.2,108113,2312,2.3,0.1,79855,2994,18843326,*****,24272,181,76.5,0.2,26915,229,15.9,0.1,14605,231,0.4,0.1,18028,2042,2.4,0.1,25528,1700,0.1,0.1,19011,3581,2.6,0.1,14511,921,2.2,0.1,13560,783,22.6,*****,16967,238,57.8,0.1,29918,282,31.5,(X),(X),(X),31.9,(X),(X),(X),24.4,(X),(X),(X)
0400000US13,13,Georgia,3482420,15694,62967,488,79.7,0.3,64620,503,16.6,0.3,11899,614,25.6,0.2,15650,153,4.9,0.2,8432,227,1.9,0.1,3869,283,15.6,0.3,22620,576,2385969,17984,72446,563,14.2,0.3,36096,1091,36.8,0.5,57094,989,31.4,0.5,100675,1299,9.0,0.3,63223,1961,6.5,0.3,112238,2739,2.1,0.2,82595,5243,9712587,*****,23383,176,60.7,0.2,27715,232,30.6,0.1,16778,258,0.2,0.1,18523,3059,3.3,0.1,24522,1134,0.0,0.1,25478,8545,3.3,0.2,10760,776,1.8,0.1,11712,954,8.8,0.1,11833,474,55.8,0.1,29045,252,32.5,(X),(X),(X),33.3,(X),(X),(X),24.5,(X),(X),(X)
0400000US15,15,Hawaii,445812,4223,79560,1405,81.6,0.8,75510,1481,28.4,1.0,17362,1806,31.8,0.7,16716,356,3.6,0.4,8823,618,3.3,0.4,4917,693,21.5,0.7,24577,862,303075,5409,90072,1796,11.7,0.7,50332,4053,30.7,1.3,67809,3554,30.7,1.3,106582,3593,10.8,0.9,82685,4587,9.8,0.8,136237,7081,6.3,0.7,132391,11677,1363621,*****,27537,439,24.6,0.3,37184,1286,1.5,0.1,29131,3399,0.2,0.1,47553,12948,38.9,0.7,29484,942,9.9,0.3,17463,1017,1.1,0.2,17565,2890,23.8,0.8,18752,794,8.9,*****,17191,953,22.7,0.1,38285,1362,31.7,(X),(X),(X),32.4,(X),(X),(X),25.5,(X),(X),(X)
