Year,Comparison Group,Institution,Total Curr Ops/Restricted Total,Total Current Operations,"Total Cap Purp/Prop, Bldgs, Equip",Total Cap Purp/Endowment/Unrestricted,Total Cap Purp/Loan Funds,Total Cap Purp/Endow/Restricted/Outright,Total Capital Purposes (Outright Gifts Only),Total Deferred/Face Value ,Total Deferred/Present Value ,Grand Total ,Alumni: Total ,Athletics/Curr Ops: Donors (#),Athletics/Curr Ops: Total Amount ($),Athletics/Cap Purp: Donors (#),Athletics/Total: Donors (#),Athletics/Cap Purp: Total Amount ($),Athletics/Total: Total Amount ($),Alumni: Curr Ops/Athletics
FY2006,Baccalaureate (All),Birmingham Southern College,"$1,798,313","$3,462,611","$3,387,722","$26,606",$0,"$1,974,499","$5,388,827","$56,082","$30,673","$8,882,111","$1,995,936",296,"$207,388",24,320,"$364,442","$571,830","$158,819"
FY2007,Baccalaureate (All),Birmingham Southern College,"$1,400,931","$3,020,584","$979,855","$19,572",$0,"$5,209,088","$6,208,515","$60,000","$31,631","$9,260,730","$2,354,087",418,"$245,328",2,420,$40,"$245,368","$64,061"
FY2008,Baccalaureate (All),Birmingham Southern College,"$3,986,853","$5,395,703","$814,741",$757,$0,"$2,734,539","$3,550,037","$369,449","$134,978","$9,080,718","$2,893,773",579,"$278,462",2,581,$25,"$278,487","$71,319"
FY2009,Baccalaureate (All),Birmingham Southern College,"$3,429,146","$5,586,996","$68,526",$350,$0,"$2,547,445","$2,616,321","$25,000","$12,205","$8,215,522","$2,168,919",673,"$220,035",2,675,$20,"$220,055","$89,676"
FY2010,Baccalaureate (All),Birmingham Southern College,"$3,547,615","$4,934,006","$44,128",$0,$0,"$1,305,073","$1,349,201","$15,000","$7,293","$6,290,500","$1,416,207",848,"$138,531",0,848,$0,"$138,531","$35,950"
FY2009,Baccalaureate (All),Judson College,"$176,964","$2,188,409","$200,000",$0,$0,"$1,538,270","$1,738,270",,$0,"$3,926,679","$1,557,484",,,,,,,
FY2010,Baccalaureate (All),Judson College,"$128,502","$2,198,630","$80,906","$449,730",$0,"$40,452","$571,088",,$0,"$2,769,718","$812,753",,,,,,,
FY2006,Baccalaureate (All),Spring Hill College,"$2,289,806","$3,979,838","$2,229,655","$646,472",$0,"$483,475","$3,359,602","$1,304,852","$853,869","$8,193,309","$2,524,858",187,"$47,495",0,187,$0,"$47,495","$24,052"
FY2007,Baccalaureate (All),Spring Hill College,"$786,267","$2,688,888","$3,073,008","$507,937",$0,"$506,637","$4,087,582",$0,$0,"$6,776,470","$2,133,938",214,"$36,510",0,214,$0,"$36,510","$18,150"
FY2008,Baccalaureate (All),Spring Hill College,"$831,847","$2,289,939","$4,456,763","$709,795",$0,"$2,232,574","$7,399,132",$0,$0,"$9,689,071","$2,441,439",199,"$34,268",0,199,$0,"$34,268","$17,813"
FY2009,Baccalaureate (All),Spring Hill College,"$1,035,777","$2,367,927","$1,880,092","$255,000",$0,"$671,244","$2,806,336","$100,000","$56,228","$5,230,491","$1,518,621",138,"$35,496",,138,,"$35,496","$22,470"
FY2010,Baccalaureate (All),Spring Hill College,"$566,392","$2,016,827","$1,873,150","$10,000",$0,"$459,667","$2,342,817",$0,$0,"$4,359,644","$1,059,155",135,"$40,178",0,135,$0,"$40,178","$13,752"
FY2008,Baccalaureate (All),University of Arkansas at Pine Bluff,"$534,377","$1,435,786",$0,$0,"$30,000","$338,619","$368,619",,$0,"$1,804,405","$782,078",,,,,,,
FY2009,Baccalaureate (All),University of Arkansas at Pine Bluff,"$506,202","$877,695","$548,398",$0,$0,"$276,202","$824,600",,$0,"$1,702,295","$684,496",,,,,,,
FY2006,Baccalaureate (All),Lyon College,"$1,702,212","$3,879,499","$260,938",$575,$0,"$260,718","$522,231",$0,$0,"$4,401,730","$287,648",253,"$45,033",12,265,"$8,933","$53,966","$6,955"
FY2007,Baccalaureate (All),Lyon College,"$1,683,845","$3,687,190","$84,535","$751,700",$0,"$1,003,514","$1,839,749",$0,$0,"$5,526,939","$1,073,874",387,"$80,799",11,398,"$3,550","$84,349","$10,563"
FY2008,Baccalaureate (All),Lyon College,"$1,706,092","$3,703,690","$87,742","$2,500",$0,"$336,793","$427,035","$500,000","$269,737","$4,400,462","$678,194",567,"$61,113",11,578,"$3,600","$64,713","$7,452"
FY2009,Baccalaureate (All),Lyon College,"$1,324,337","$3,315,873","$44,582","$1,652",$0,"$646,138","$692,372",$0,$0,"$4,008,245","$159,447",429,"$56,803",5,434,"$2,150","$58,953","$6,202"
FY2010,Baccalaureate (All),Lyon College,"$1,061,665","$2,061,665","$60,234","$102,655",$0,"$628,180","$791,069",$0,$0,"$2,852,734","$969,692",399,"$38,532",4,403,"$2,700","$41,232","$2,555"
FY2006,Baccalaureate (All),Central Baptist College,"$249,290","$1,497,372","$32,607","$5,650",$0,$800,"$39,057",$0,$0,"$1,536,429","$66,188",,,,,,,$35
FY2007,Baccalaureate (All),Central Baptist College,"$91,469","$1,372,186","$163,298","$6,930",$0,$600,"$170,828",$0,$0,"$1,543,014","$60,675",,,,,,,$0
FY2008,Baccalaureate (All),Central Baptist College,"$193,641","$871,016","$57,414","$2,695",$0,$300,"$60,409",$0,$0,"$931,425","$39,659",,,,,,,$200
FY2009,Baccalaureate (All),Central Baptist College,"$300,837","$969,877","$1,177,545","$106,670",$0,$800,"$1,285,015",$0,$0,"$2,254,892","$70,856",,,,,,,$80
FY2010,Baccalaureate (All),Central Baptist College,"$349,810","$993,172","$102,713","$1,765",$0,"$22,041","$126,519","$10,000","$4,804","$1,124,495","$61,982",,,,,,,"$1,130"
FY2006,Baccalaureate (All),University of the Ozarks,"$2,313,500","$3,394,211",$0,"$112,272",$0,"$20,153,444","$20,265,716","$30,693","$15,599","$23,675,526","$352,783",328,"$30,649",0,328,$0,"$30,649","$2,139"
FY2007,Baccalaureate (All),University of the Ozarks,"$11,224,082","$11,989,905","$59,189","$56,483",$0,"$3,157,737","$3,273,409",$0,$0,"$15,263,314","$259,008",291,"$23,006",0,291,$0,"$23,006","$1,276"
FY2008,Baccalaureate (All),University of the Ozarks,"$755,858","$1,495,908","$135,019","$35,631",$0,"$1,726,491","$1,897,141","$145,548","$73,556","$3,466,605","$243,093",214,"$16,451",0,214,$0,"$16,451","$2,596"
FY2009,Baccalaureate (All),University of the Ozarks,"$140,165","$872,528","$1,144,514",$0,"$28,261","$871,861","$2,044,636","$92,787","$64,217","$2,981,381","$241,039",316,"$37,118",4,320,"$4,311","$41,429",$490
FY2010,Baccalaureate (All),University of the Ozarks,"$207,487","$929,814","$1,280,870",$0,$0,"$1,005,183","$2,286,053","$151,439","$85,273","$3,301,140","$198,875",0,$0,0,0,$0,$0,"$6,736"
FY2006,Baccalaureate (All),Hendrix College,"$1,062,152","$3,167,551","$5,384,975","$11,275",$0,"$1,933,970","$7,330,220","$1,319,699","$506,772","$11,004,543","$3,101,765",0,$0,0,0,$0,$0,$136
FY2007,Baccalaureate (All),Hendrix College,"$824,462","$2,972,393","$1,793,750","$10,050",$0,"$3,538,663","$5,342,463","$11,299","$7,863","$8,322,719","$3,151,512",0,$0,0,0,$0,$0,$0
FY2009,Baccalaureate (All),Hendrix College,"$1,092,466","$2,868,560","$3,426,800",$50,$0,"$3,176,702","$6,603,552","$1,718,522","$1,258,191","$10,730,303","$3,158,140",,,,,,,"$1,020"
FY2010,Baccalaureate (All),Hendrix College,"$170,404","$1,820,251","$2,922,186","$16,761",$0,"$1,496,813","$4,435,760","$305,000","$177,495","$6,433,506","$2,067,235",,,,,,,"$14,260"
FY2006,Baccalaureate (All),Ouachita Baptist University,"$1,678,686","$6,710,534","$4,034,405",$0,$0,"$5,439,596","$9,474,001","$226,500","$116,313","$16,300,848","$3,119,279",165,"$100,723",1,166,"$20,000","$120,723","$38,270"
FY2006,Baccalaureate (All),University of Arkansas-Fort Smith,"$843,389","$846,499",$0,"$185,063",$0,"$3,043,415","$3,228,478",,$0,"$4,074,977","$113,497",,,,,,,
FY2007,Baccalaureate (All),University of Arkansas-Fort Smith,"$576,309","$607,059",$0,"$45,097",$0,"$4,791,107","$4,836,204",,$0,"$5,443,263","$264,053",,,,,,,
FY2008,Baccalaureate (All),University of Arkansas-Fort Smith,"$1,095,611","$1,723,365",$0,"$129,043",$0,"$5,787,481","$5,916,524",,$0,"$7,639,889","$284,660",,,,,,,
